step,k,m,w1,w2
1,0.1,0.1,-3,-1
2,0.1,0.2,-1.5,-0.5
3,0.1,0.3,-1,-0.333333
4,0.1,0.4,-0.75,-0.25
5,0.1,0.5,-0.6,-0.2
6,0.1,0.6,-0.5,-0.166667
7,0.1,0.7,-0.428571,-0.142857
8,0.1,0.8,-0.375,-0.125
9,0.1,0.9,-0.333333,-0.111111
10,0.1,1,-0.3,-0.1
11,0.1,1.1,-0.272727,-0.0909091
12,0.1,1.2,-0.25,-0.0833334
13,0.1,1.3,-0.230769,-0.0769231
14,0.1,1.4,-0.214286,-0.0714286
15,0.1,1.5,-0.2,-0.0666667
16,0.1,1.6,-0.1875,-0.0625
17,0.1,1.7,-0.176471,-0.0588236
18,0.1,1.8,-0.166667,-0.0555556
19,0.1,1.9,-0.157895,-0.0526316
20,0.1,2,-0.15,-0.05
21,0.1,2.1,-0.142857,-0.0476191
22,0.1,2.2,-0.136364,-0.0454546
23,0.1,2.3,-0.130435,-0.0434783
24,0.1,2.4,-0.125,-0.0416667
25,0.1,2.5,-0.12,-0.04
26,0.1,2.6,-0.115385,-0.0384616
27,0.1,2.7,-0.111111,-0.0370371
28,0.1,2.8,-0.107143,-0.0357143
29,0.1,2.9,-0.103448,-0.0344828
30,0.1,3,-0.1,-0.0333333
31,0.1,3.1,-0.0967742,-0.0322581
32,0.1,3.2,-0.09375,-0.03125
33,0.1,3.3,-0.0909091,-0.030303
34,0.1,3.4,-0.0882353,-0.0294118
35,0.1,3.5,-0.0857143,-0.0285714
36,0.1,3.6,-0.0833333,-0.0277778
37,0.1,3.7,-0.0810811,-0.027027
38,0.1,3.8,-0.0789474,-0.0263158
39,0.1,3.9,-0.0769231,-0.025641
40,0.1,4,-0.075,-0.025
41,0.1,4.1,-0.0731707,-0.0243903
42,0.1,4.2,-0.0714286,-0.0238095
43,0.1,4.3,-0.0697674,-0.0232559
44,0.1,4.4,-0.0681817,-0.0227274
45,0.1,4.5,-0.0666666,-0.0222223
46,0.1,4.6,-0.0652173,-0.0217392
47,0.1,4.7,-0.0638297,-0.0212767
48,0.1,4.8,-0.0624999,-0.0208334
49,0.1,4.9,-0.0612244,-0.0204082
50,0.1,5,-0.0599999,-0.0200001
51,0.1,5.1,-0.0588235,-0.0196079
52,0.1,5.2,-0.0576922,-0.0192308
53,0.1,5.3,-0.0566037,-0.018868
54,0.1,5.4,-0.0555555,-0.0185186
55,0.1,5.5,-0.0545454,-0.0181819
56,0.1,5.6,-0.0535714,-0.0178572
57,0.1,5.7,-0.0526315,-0.0175439
58,0.1,5.8,-0.0517241,-0.0172414
59,0.1,5.9,-0.0508474,-0.0169492
60,0.1,6,-0.0499999,-0.0166667
61,0.1,6.1,-0.0491803,-0.0163935
62,0.1,6.2,-0.048387,-0.0161291
63,0.1,6.3,-0.047619,-0.0158731
64,0.1,6.4,-0.0468749,-0.0156251
65,0.1,6.5,-0.0461538,-0.0153847
66,0.1,6.6,-0.0454545,-0.0151516
67,0.1,6.7,-0.0447761,-0.0149254
68,0.1,6.8,-0.0441176,-0.0147059
69,0.1,6.9,-0.0434782,-0.0144928
70,0.1,7,-0.0428571,-0.0142858
71,0.1,7.1,-0.0422535,-0.0140846
72,0.1,7.2,-0.0416666,-0.0138889
73,0.1,7.3,-0.0410958,-0.0136987
74,0.1,7.4,-0.0405405,-0.0135136
75,0.1,7.5,-0.0399999,-0.0133334
76,0.1,7.6,-0.0394736,-0.0131579
77,0.1,7.7,-0.038961,-0.0129871
78,0.1,7.8,-0.0384615,-0.0128206
79,0.1,7.9,-0.0379746,-0.0126583
80,0.1,8,-0.0375,-0.0125
81,0.1,8.1,-0.037037,-0.0123457
82,0.1,8.2,-0.0365853,-0.0121952
83,0.1,8.3,-0.0361445,-0.0120482
84,0.1,8.4,-0.0357142,-0.0119048
85,0.1,8.5,-0.0352941,-0.0117648
86,0.1,8.6,-0.0348837,-0.011628
87,0.1,8.7,-0.0344827,-0.0114943
88,0.1,8.8,-0.0340909,-0.0113637
89,0.1,8.9,-0.0337078,-0.011236
90,0.1,9,-0.0333333,-0.0111112
91,0.1,9.1,-0.032967,-0.0109891
92,0.1,9.2,-0.0326087,-0.0108696
93,0.1,9.3,-0.032258,-0.0107527
94,0.1,9.4,-0.0319149,-0.0106383
95,0.1,9.5,-0.0315789,-0.0105264
96,0.1,9.6,-0.03125,-0.0104167
97,0.1,9.7,-0.0309278,-0.0103093
98,0.1,9.8,-0.0306122,-0.0102041
99,0.1,9.9,-0.030303,-0.010101
100,0.1,10,-0.03,-0.01
101,0.2,0.1,-6,-2
102,0.2,0.2,-3,-1
103,0.2,0.3,-2,-0.666667
104,0.2,0.4,-1.5,-0.5
105,0.2,0.5,-1.2,-0.4
106,0.2,0.6,-1,-0.333333
107,0.2,0.7,-0.857143,-0.285714
108,0.2,0.8,-0.75,-0.25
109,0.2,0.9,-0.666667,-0.222222
110,0.2,1,-0.6,-0.2
111,0.2,1.1,-0.545454,-0.181818
112,0.2,1.2,-0.5,-0.166667
113,0.2,1.3,-0.461538,-0.153846
114,0.2,1.4,-0.428571,-0.142857
115,0.2,1.5,-0.4,-0.133333
116,0.2,1.6,-0.375,-0.125
117,0.2,1.7,-0.352941,-0.117647
118,0.2,1.8,-0.333333,-0.111111
119,0.2,1.9,-0.315789,-0.105263
120,0.2,2,-0.3,-0.1
121,0.2,2.1,-0.285714,-0.0952381
122,0.2,2.2,-0.272727,-0.0909091
123,0.2,2.3,-0.26087,-0.0869566
124,0.2,2.4,-0.25,-0.0833334
125,0.2,2.5,-0.24,-0.08
126,0.2,2.6,-0.230769,-0.0769231
127,0.2,2.7,-0.222222,-0.0740741
128,0.2,2.8,-0.214286,-0.0714286
129,0.2,2.9,-0.206897,-0.0689655
130,0.2,3,-0.2,-0.0666667
131,0.2,3.1,-0.193548,-0.0645162
132,0.2,3.2,-0.1875,-0.0625
133,0.2,3.3,-0.181818,-0.0606061
134,0.2,3.4,-0.176471,-0.0588236
135,0.2,3.5,-0.171429,-0.0571429
136,0.2,3.6,-0.166667,-0.0555556
137,0.2,3.7,-0.162162,-0.0540541
138,0.2,3.8,-0.157895,-0.0526316
139,0.2,3.9,-0.153846,-0.0512821
140,0.2,4,-0.15,-0.05
141,0.2,4.1,-0.146341,-0.0487805
142,0.2,4.2,-0.142857,-0.0476191
143,0.2,4.3,-0.139535,-0.0465116
144,0.2,4.4,-0.136364,-0.0454546
145,0.2,4.5,-0.133333,-0.0444445
146,0.2,4.6,-0.130435,-0.0434783
147,0.2,4.7,-0.12766,-0.0425532
148,0.2,4.8,-0.125,-0.0416667
149,0.2,4.9,-0.122449,-0.0408163
150,0.2,5,-0.12,-0.04
151,0.2,5.1,-0.117647,-0.0392157
152,0.2,5.2,-0.115385,-0.0384616
153,0.2,5.3,-0.113208,-0.0377359
154,0.2,5.4,-0.111111,-0.0370371
155,0.2,5.5,-0.109091,-0.0363637
156,0.2,5.6,-0.107143,-0.0357143
157,0.2,5.7,-0.105263,-0.0350877
158,0.2,5.8,-0.103448,-0.0344828
159,0.2,5.9,-0.101695,-0.0338983
160,0.2,6,-0.1,-0.0333333
161,0.2,6.1,-0.0983606,-0.0327869
162,0.2,6.2,-0.0967742,-0.0322581
163,0.2,6.3,-0.0952381,-0.031746
164,0.2,6.4,-0.09375,-0.03125
165,0.2,6.5,-0.0923077,-0.0307692
166,0.2,6.6,-0.0909091,-0.030303
167,0.2,6.7,-0.0895522,-0.0298508
168,0.2,6.8,-0.0882353,-0.0294118
169,0.2,6.9,-0.0869565,-0.0289855
170,0.2,7,-0.0857143,-0.0285714
171,0.2,7.1,-0.084507,-0.028169
172,0.2,7.2,-0.0833333,-0.0277778
173,0.2,7.3,-0.0821918,-0.0273973
174,0.2,7.4,-0.0810811,-0.027027
175,0.2,7.5,-0.08,-0.0266667
176,0.2,7.6,-0.0789474,-0.0263158
177,0.2,7.7,-0.0779221,-0.025974
178,0.2,7.8,-0.0769231,-0.025641
179,0.2,7.9,-0.0759494,-0.0253165
180,0.2,8,-0.075,-0.025
181,0.2,8.1,-0.0740741,-0.0246914
182,0.2,8.2,-0.0731707,-0.0243903
183,0.2,8.3,-0.0722891,-0.0240964
184,0.2,8.4,-0.0714286,-0.0238095
185,0.2,8.5,-0.0705882,-0.0235294
186,0.2,8.6,-0.0697674,-0.0232559
187,0.2,8.7,-0.0689654,-0.0229886
188,0.2,8.8,-0.0681817,-0.0227274
189,0.2,8.9,-0.0674156,-0.022472
190,0.2,9,-0.0666666,-0.0222223
191,0.2,9.1,-0.065934,-0.0219781
192,0.2,9.2,-0.0652173,-0.0217392
193,0.2,9.3,-0.064516,-0.0215055
194,0.2,9.4,-0.0638297,-0.0212767
195,0.2,9.5,-0.0631578,-0.0210527
196,0.2,9.6,-0.0624999,-0.0208334
197,0.2,9.7,-0.0618556,-0.0206186
198,0.2,9.8,-0.0612244,-0.0204082
199,0.2,9.9,-0.060606,-0.0202021
200,0.2,10,-0.0599999,-0.0200001
201,0.3,0.1,-9,-3
202,0.3,0.2,-4.5,-1.5
203,0.3,0.3,-3,-1
204,0.3,0.4,-2.25,-0.75
205,0.3,0.5,-1.8,-0.6
206,0.3,0.6,-1.5,-0.5
