Number_of_bodies:3
Number_of_steps:10000
step timestep(s) energy angular_momentum_magnitude L_x L_y L_z body0_radius body0.x body0.y body0.z body1_radius body1.x body1.y body1.z body2_radius body2.x body2.y body2.z
0 0 2.44297 1.11022e-16 0 0 1.11022e-16 0.983327 -0.981572 0.0587188 0 1.02012 1.01843 0.0587188 0 0.123085 -0.0368558 -0.117438 0
1 0.1 2.4057 1.11022e-16 0 0 1.11022e-16 0.960642 -0.953598 0.11612 0 1.03426 1.0277 0.116323 0 0.24397 -0.0741028 -0.232444 0
2 0.2 2.3583 0 0 0 0 0.932177 -0.916385 0.170861 0 1.04274 1.02846 0.172031 0 0.360743 -0.112071 -0.342893 0
3 0.3 2.30654 0 0 0 0 0.898277 -0.870482 0.221727 0 1.04598 1.02141 0.225397 0 0.47191 -0.150925 -0.447125 0
4 0.4 2.25579 0 0 0 0 0.859367 -0.816593 0.267745 0 1.04439 1.00719 0.276233 0 0.576403 -0.1906 -0.543978 0
5 0.5 2.21067 0 0 0 0 0.815947 -0.755479 0.308253 0 1.0383 0.986292 0.324507 0 0.673542 -0.230812 -0.63276 0
6 0.6 2.17505 5.55112e-17 0 0 -5.55112e-17 0.768589 -0.687851 0.342915 0 1.02798 0.958987 0.370261 0 0.762977 -0.271136 -0.713175 0
7 0.7 2.15227 0 0 0 0 0.717967 -0.614274 0.371678 0 1.01357 0.925361 0.413556 0 0.844611 -0.311087 -0.785234 0
8 0.8 2.14533 1.11022e-16 0 0 1.11022e-16 0.664931 -0.535103 0.394713 0 0.995119 0.885296 0.454437 0 0.918527 -0.350193 -0.849151 0
9 0.9 2.15708 5.55112e-17 0 0 5.55112e-17 0.610678 -0.450432 0.412357 0 0.972611 0.83846 0.492905 0 0.984919 -0.388028 -0.905262 0
10 1 2.18979 5.55112e-17 0 0 5.55112e-17 0.557092 -0.360085 0.425077 0 0.945975 0.784313 0.528887 0 1.04404 -0.424228 -0.953963 0
11 1.1 2.24275 5.55112e-17 0 0 5.55112e-17 0.507361 -0.263667 0.433468 0 0.915195 0.722159 0.5622 0 1.09616 -0.458492 -0.995668 0
12 1.2 2.30744 1.11022e-16 0 0 -1.11022e-16 0.46684 -0.160834 0.43826 0 0.880579 0.651407 0.592527 0 1.14157 -0.490573 -1.03079 0
13 1.3 2.36607 5.55112e-17 0 0 5.55112e-17 0.443307 -0.0518571 0.440264 0 0.843243 0.572135 0.619452 0 1.18055 -0.520277 -1.05972 0
14 1.4 2.4003 1.11022e-16 0 0 -1.11022e-16 0.444593 0.0619697 0.440253 0 0.805363 0.485495 0.642576 0 1.21336 -0.547465 -1.08283 0
15 1.5 2.40027 0 0 0 0 0.473861 0.178663 0.43889 0 0.769701 0.393382 0.661582 0 1.24027 -0.572045 -1.10047 0
16 1.6 2.36352 1.11022e-16 0 0 1.11022e-16 0.527623 0.296037 0.436747 0 0.738933 0.297941 0.676205 0 1.26154 -0.593978 -1.11295 0
17 1.7 2.29115 1.11022e-16 0 0 1.11022e-16 0.598577 0.411894 0.434324 0 0.71515 0.201374 0.686212 0 1.27738 -0.613268 -1.12054 0
18 1.8 2.18715 5.55112e-17 0 0 -5.55112e-17 0.679204 0.524079 0.43204 0 0.699459 0.105873 0.6914 0 1.28801 -0.629952 -1.12344 0
19 1.9 2.0604 0 0 0 0 0.763321 0.630538 0.430211 0 0.69175 0.0135528 0.691617 0 1.29358 -0.64409 -1.12183 0
20 2 1.92682 1.11022e-16 0 0 -1.11022e-16 0.846307 0.729526 0.428983 0 0.690779 -0.0737663 0.686829 0 1.29424 -0.65576 -1.11581 0
21 2.1 1.80476 0 0 0 0 0.92517 0.820087 0.428247 0 0.694729 -0.155046 0.677207 0 1.29008 -0.665042 -1.10545 0
22 2.2 1.70585 5.55112e-17 0 0 -5.55112e-17 0.998531 0.902301 0.427687 0 0.701929 -0.230287 0.663078 0 1.28116 -0.672015 -1.09077 0
23 2.3 1.63265 5.55112e-17 0 0 -5.55112e-17 1.0661 0.976872 0.42696 0 0.711177 -0.300118 0.644749 0 1.2675 -0.676754 -1.07171 0
24 2.4 1.58282 0 0 0 0 1.12807 1.04462 0.4258 0 0.72168 -0.365296 0.622399 0 1.24908 -0.679328 -1.0482 0
25 2.5 1.55319 5.55112e-17 0 0 -5.55112e-17 1.18476 1.10629 0.424025 0 0.732932 -0.426482 0.596072 0 1.22586 -0.679805 -1.0201 0
26 2.6 1.54134 1.66533e-16 0 0 -1.66533e-16 1.23651 1.16245 0.421515 0 0.744622 -0.484202 0.565694 0 1.19775 -0.678248 -0.987209 0
27 2.7 1.54587 1.94289e-16 0 0 -1.94289e-16 1.28361 1.21358 0.418189 0 0.756579 -0.538852 0.531085 0 1.16464 -0.674728 -0.949273 0
